0.000, {'ABCD': 0, 'BC': 864, 'DE': 685, 'AB': 295, 'FG': 33, 'EH': 25, 'A': 68573, 'C': 51681, 'B': 64052, 'E': 67177, 'D': 47952, 'G': 50142, 'F': 64029, 'H': 47887, 'EF': 44, 'CF': 438, 'CD': 246, 'EFGH': 0, 'AD': 682, 'GH': 12, 'CDEF': 0, 'ABCDEFGH': 0}
0.071, {'ABCD': 0, 'BC': 841, 'DE': 669, 'AB': 272, 'FG': 26, 'EH': 21, 'A': 67366, 'C': 51339, 'B': 64612, 'E': 65981, 'D': 47673, 'G': 49870, 'F': 64597, 'H': 47596, 'EF': 49, 'CF': 431, 'CD': 250, 'EFGH': 0, 'AD': 661, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
0.141, {'ABCD': 0, 'BC': 860, 'DE': 728, 'AB': 243, 'FG': 23, 'EH': 23, 'A': 66056, 'C': 51368, 'B': 64093, 'E': 64680, 'D': 47769, 'G': 49834, 'F': 64077, 'H': 47706, 'EF': 34, 'CF': 460, 'CD': 246, 'EFGH': 0, 'AD': 718, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.212, {'ABCD': 0, 'BC': 874, 'DE': 688, 'AB': 224, 'FG': 26, 'EH': 26, 'A': 66004, 'C': 51001, 'B': 63890, 'E': 64609, 'D': 47004, 'G': 49440, 'F': 63866, 'H': 46946, 'EF': 43, 'CF': 478, 'CD': 265, 'EFGH': 0, 'AD': 674, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.283, {'ABCD': 0, 'BC': 826, 'DE': 663, 'AB': 270, 'FG': 23, 'EH': 19, 'A': 64985, 'C': 50854, 'B': 63502, 'E': 63638, 'D': 47220, 'G': 49403, 'F': 63476, 'H': 47173, 'EF': 41, 'CF': 424, 'CD': 244, 'EFGH': 0, 'AD': 659, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.354, {'ABCD': 0, 'BC': 849, 'DE': 704, 'AB': 278, 'FG': 37, 'EH': 32, 'A': 64818, 'C': 51613, 'B': 63700, 'E': 63429, 'D': 47287, 'G': 50093, 'F': 63682, 'H': 47223, 'EF': 42, 'CF': 471, 'CD': 235, 'EFGH': 0, 'AD': 700, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
0.424, {'ABCD': 0, 'BC': 833, 'DE': 677, 'AB': 267, 'FG': 24, 'EH': 25, 'A': 64283, 'C': 51043, 'B': 63089, 'E': 62967, 'D': 47068, 'G': 49629, 'F': 63066, 'H': 47007, 'EF': 26, 'CF': 415, 'CD': 221, 'EFGH': 0, 'AD': 667, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.495, {'ABCD': 0, 'BC': 841, 'DE': 638, 'AB': 260, 'FG': 22, 'EH': 28, 'A': 64037, 'C': 51434, 'B': 63360, 'E': 62687, 'D': 47195, 'G': 49956, 'F': 63335, 'H': 47133, 'EF': 43, 'CF': 438, 'CD': 238, 'EFGH': 0, 'AD': 632, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.566, {'ABCD': 0, 'BC': 848, 'DE': 649, 'AB': 260, 'FG': 28, 'EH': 22, 'A': 63590, 'C': 51815, 'B': 63807, 'E': 62361, 'D': 47089, 'G': 50344, 'F': 63788, 'H': 47034, 'EF': 30, 'CF': 426, 'CD': 227, 'EFGH': 0, 'AD': 645, 'GH': 10, 'CDEF': 0, 'ABCDEFGH': 0}
0.636, {'ABCD': 0, 'BC': 815, 'DE': 679, 'AB': 240, 'FG': 28, 'EH': 25, 'A': 63288, 'C': 51712, 'B': 63189, 'E': 61996, 'D': 46977, 'G': 50249, 'F': 63168, 'H': 46920, 'EF': 42, 'CF': 397, 'CD': 232, 'EFGH': 0, 'AD': 668, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
0.707, {'ABCD': 0, 'BC': 816, 'DE': 709, 'AB': 265, 'FG': 34, 'EH': 28, 'A': 63013, 'C': 52086, 'B': 63209, 'E': 61723, 'D': 47221, 'G': 50646, 'F': 63184, 'H': 47149, 'EF': 38, 'CF': 466, 'CD': 205, 'EFGH': 0, 'AD': 694, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
