0.000, {'ABCD': 1, 'BC': 934, 'DE': 708, 'AB': 294, 'FG': 20, 'EH': 26, 'A': 65668, 'C': 51936, 'B': 64592, 'E': 64333, 'D': 48554, 'G': 50296, 'F': 64564, 'H': 48486, 'EF': 38, 'CF': 479, 'CD': 263, 'EFGH': 0, 'AD': 702, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
0.071, {'ABCD': 0, 'BC': 881, 'DE': 730, 'AB': 232, 'FG': 31, 'EH': 32, 'A': 65840, 'C': 52122, 'B': 64114, 'E': 64521, 'D': 48151, 'G': 50575, 'F': 64098, 'H': 48081, 'EF': 42, 'CF': 471, 'CD': 250, 'EFGH': 0, 'AD': 721, 'GH': 26, 'CDEF': 0, 'ABCDEFGH': 0}
0.141, {'ABCD': 0, 'BC': 940, 'DE': 719, 'AB': 287, 'FG': 32, 'EH': 32, 'A': 65302, 'C': 51729, 'B': 64505, 'E': 63943, 'D': 48305, 'G': 50086, 'F': 64479, 'H': 48240, 'EF': 31, 'CF': 483, 'CD': 256, 'EFGH': 0, 'AD': 716, 'GH': 27, 'CDEF': 0, 'ABCDEFGH': 0}
0.212, {'ABCD': 0, 'BC': 931, 'DE': 714, 'AB': 290, 'FG': 24, 'EH': 40, 'A': 65583, 'C': 51670, 'B': 64493, 'E': 64227, 'D': 48210, 'G': 50100, 'F': 64463, 'H': 48157, 'EF': 54, 'CF': 464, 'CD': 251, 'EFGH': 0, 'AD': 704, 'GH': 25, 'CDEF': 0, 'ABCDEFGH': 0}
0.283, {'ABCD': 0, 'BC': 914, 'DE': 722, 'AB': 283, 'FG': 34, 'EH': 31, 'A': 65738, 'C': 51712, 'B': 64344, 'E': 64291, 'D': 47624, 'G': 50124, 'F': 64325, 'H': 47555, 'EF': 46, 'CF': 435, 'CD': 270, 'EFGH': 0, 'AD': 723, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.354, {'ABCD': 0, 'BC': 972, 'DE': 709, 'AB': 297, 'FG': 29, 'EH': 31, 'A': 65655, 'C': 52743, 'B': 65086, 'E': 64265, 'D': 47636, 'G': 51108, 'F': 65064, 'H': 47566, 'EF': 34, 'CF': 518, 'CD': 273, 'EFGH': 1, 'AD': 700, 'GH': 31, 'CDEF': 0, 'ABCDEFGH': 0}
0.424, {'ABCD': 0, 'BC': 903, 'DE': 686, 'AB': 271, 'FG': 23, 'EH': 25, 'A': 65867, 'C': 51835, 'B': 64609, 'E': 64522, 'D': 47614, 'G': 50297, 'F': 64578, 'H': 47553, 'EF': 49, 'CF': 465, 'CD': 258, 'EFGH': 0, 'AD': 666, 'GH': 27, 'CDEF': 0, 'ABCDEFGH': 0}
0.495, {'ABCD': 0, 'BC': 988, 'DE': 720, 'AB': 243, 'FG': 42, 'EH': 20, 'A': 65630, 'C': 52465, 'B': 65028, 'E': 64186, 'D': 47171, 'G': 50806, 'F': 65009, 'H': 47117, 'EF': 37, 'CF': 536, 'CD': 246, 'EFGH': 0, 'AD': 712, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
0.566, {'ABCD': 0, 'BC': 985, 'DE': 740, 'AB': 281, 'FG': 31, 'EH': 31, 'A': 65650, 'C': 52704, 'B': 65169, 'E': 64273, 'D': 46900, 'G': 51045, 'F': 65136, 'H': 46836, 'EF': 40, 'CF': 546, 'CD': 243, 'EFGH': 0, 'AD': 727, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.636, {'ABCD': 0, 'BC': 993, 'DE': 727, 'AB': 270, 'FG': 29, 'EH': 18, 'A': 65970, 'C': 52632, 'B': 65829, 'E': 64584, 'D': 47043, 'G': 50987, 'F': 65800, 'H': 46979, 'EF': 43, 'CF': 501, 'CD': 241, 'EFGH': 0, 'AD': 713, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.707, {'ABCD': 0, 'BC': 939, 'DE': 691, 'AB': 264, 'FG': 32, 'EH': 34, 'A': 66183, 'C': 52692, 'B': 65812, 'E': 64821, 'D': 47162, 'G': 51100, 'F': 65788, 'H': 47095, 'EF': 49, 'CF': 484, 'CD': 237, 'EFGH': 0, 'AD': 686, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
