0.000, {'ABCD': 0, 'BC': 915, 'DE': 767, 'AB': 283, 'FG': 33, 'EH': 27, 'A': 69781, 'C': 51811, 'B': 65069, 'E': 68337, 'D': 48221, 'G': 50202, 'F': 65046, 'H': 48154, 'EF': 59, 'CF': 491, 'CD': 243, 'EFGH': 0, 'AD': 753, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
0.071, {'ABCD': 0, 'BC': 890, 'DE': 677, 'AB': 282, 'FG': 33, 'EH': 19, 'A': 67678, 'C': 51778, 'B': 64708, 'E': 66281, 'D': 48588, 'G': 50256, 'F': 64684, 'H': 48519, 'EF': 56, 'CF': 452, 'CD': 253, 'EFGH': 1, 'AD': 671, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.141, {'ABCD': 0, 'BC': 926, 'DE': 722, 'AB': 232, 'FG': 34, 'EH': 33, 'A': 67469, 'C': 51604, 'B': 65085, 'E': 66060, 'D': 48164, 'G': 49997, 'F': 65074, 'H': 48106, 'EF': 38, 'CF': 497, 'CD': 280, 'EFGH': 0, 'AD': 712, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
0.212, {'ABCD': 0, 'BC': 919, 'DE': 729, 'AB': 260, 'FG': 20, 'EH': 31, 'A': 66305, 'C': 51705, 'B': 65041, 'E': 64900, 'D': 47718, 'G': 50145, 'F': 65028, 'H': 47659, 'EF': 50, 'CF': 466, 'CD': 270, 'EFGH': 0, 'AD': 727, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
0.283, {'ABCD': 0, 'BC': 870, 'DE': 687, 'AB': 249, 'FG': 27, 'EH': 17, 'A': 65957, 'C': 51609, 'B': 64985, 'E': 64587, 'D': 47815, 'G': 50122, 'F': 64961, 'H': 47757, 'EF': 47, 'CF': 417, 'CD': 247, 'EFGH': 0, 'AD': 680, 'GH': 28, 'CDEF': 0, 'ABCDEFGH': 0}
0.354, {'ABCD': 0, 'BC': 873, 'DE': 696, 'AB': 293, 'FG': 26, 'EH': 27, 'A': 66044, 'C': 51209, 'B': 64069, 'E': 64618, 'D': 47613, 'G': 49604, 'F': 64045, 'H': 47557, 'EF': 50, 'CF': 462, 'CD': 261, 'EFGH': 0, 'AD': 684, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.424, {'ABCD': 0, 'BC': 855, 'DE': 701, 'AB': 275, 'FG': 22, 'EH': 29, 'A': 65851, 'C': 51075, 'B': 64308, 'E': 64558, 'D': 47458, 'G': 49529, 'F': 64282, 'H': 47381, 'EF': 49, 'CF': 445, 'CD': 270, 'EFGH': 0, 'AD': 680, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.495, {'ABCD': 0, 'BC': 857, 'DE': 651, 'AB': 303, 'FG': 30, 'EH': 27, 'A': 65409, 'C': 50769, 'B': 64289, 'E': 64101, 'D': 47118, 'G': 49250, 'F': 64267, 'H': 47036, 'EF': 43, 'CF': 429, 'CD': 263, 'EFGH': 0, 'AD': 648, 'GH': 14, 'CDEF': 0, 'ABCDEFGH': 0}
0.566, {'ABCD': 0, 'BC': 924, 'DE': 723, 'AB': 279, 'FG': 22, 'EH': 25, 'A': 65229, 'C': 51690, 'B': 64703, 'E': 63892, 'D': 47323, 'G': 50131, 'F': 64675, 'H': 47266, 'EF': 47, 'CF': 463, 'CD': 256, 'EFGH': 0, 'AD': 706, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.636, {'ABCD': 0, 'BC': 896, 'DE': 654, 'AB': 300, 'FG': 32, 'EH': 20, 'A': 65488, 'C': 50592, 'B': 64141, 'E': 64175, 'D': 46932, 'G': 49036, 'F': 64119, 'H': 46865, 'EF': 39, 'CF': 476, 'CD': 244, 'EFGH': 0, 'AD': 637, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
0.707, {'ABCD': 0, 'BC': 838, 'DE': 637, 'AB': 301, 'FG': 36, 'EH': 30, 'A': 65771, 'C': 50672, 'B': 64452, 'E': 64401, 'D': 47172, 'G': 49157, 'F': 64435, 'H': 47108, 'EF': 30, 'CF': 422, 'CD': 278, 'EFGH': 0, 'AD': 630, 'GH': 29, 'CDEF': 0, 'ABCDEFGH': 0}
