0.000, {'ABCD': 0, 'BC': 889, 'DE': 725, 'AB': 274, 'FG': 32, 'EH': 30, 'A': 68323, 'C': 51901, 'B': 64990, 'E': 66879, 'D': 48382, 'G': 50292, 'F': 64970, 'H': 48330, 'EF': 46, 'CF': 472, 'CD': 261, 'EFGH': 0, 'AD': 721, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
0.071, {'ABCD': 0, 'BC': 975, 'DE': 721, 'AB': 276, 'FG': 35, 'EH': 30, 'A': 67153, 'C': 52006, 'B': 65083, 'E': 65757, 'D': 48487, 'G': 50342, 'F': 65060, 'H': 48426, 'EF': 47, 'CF': 506, 'CD': 276, 'EFGH': 0, 'AD': 722, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
0.141, {'ABCD': 0, 'BC': 898, 'DE': 711, 'AB': 290, 'FG': 29, 'EH': 32, 'A': 66016, 'C': 51870, 'B': 64688, 'E': 64650, 'D': 47981, 'G': 50298, 'F': 64670, 'H': 47926, 'EF': 33, 'CF': 459, 'CD': 255, 'EFGH': 0, 'AD': 698, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.212, {'ABCD': 0, 'BC': 902, 'DE': 696, 'AB': 276, 'FG': 24, 'EH': 29, 'A': 65609, 'C': 51430, 'B': 64883, 'E': 64208, 'D': 47639, 'G': 49863, 'F': 64851, 'H': 47576, 'EF': 31, 'CF': 467, 'CD': 253, 'EFGH': 0, 'AD': 683, 'GH': 13, 'CDEF': 0, 'ABCDEFGH': 0}
0.283, {'ABCD': 0, 'BC': 901, 'DE': 688, 'AB': 285, 'FG': 16, 'EH': 23, 'A': 65176, 'C': 51864, 'B': 64622, 'E': 63817, 'D': 47959, 'G': 50307, 'F': 64604, 'H': 47889, 'EF': 51, 'CF': 444, 'CD': 228, 'EFGH': 0, 'AD': 680, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
0.354, {'ABCD': 0, 'BC': 882, 'DE': 717, 'AB': 271, 'FG': 28, 'EH': 30, 'A': 64530, 'C': 51332, 'B': 64748, 'E': 63139, 'D': 47716, 'G': 49789, 'F': 64729, 'H': 47649, 'EF': 44, 'CF': 463, 'CD': 263, 'EFGH': 0, 'AD': 710, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.424, {'ABCD': 0, 'BC': 865, 'DE': 695, 'AB': 279, 'FG': 31, 'EH': 22, 'A': 65150, 'C': 52156, 'B': 64494, 'E': 63811, 'D': 48051, 'G': 50586, 'F': 64468, 'H': 47984, 'EF': 37, 'CF': 451, 'CD': 268, 'EFGH': 0, 'AD': 685, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
0.495, {'ABCD': 0, 'BC': 849, 'DE': 666, 'AB': 315, 'FG': 25, 'EH': 27, 'A': 64491, 'C': 52805, 'B': 64241, 'E': 63167, 'D': 47329, 'G': 51224, 'F': 64216, 'H': 47266, 'EF': 35, 'CF': 440, 'CD': 252, 'EFGH': 0, 'AD': 660, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.566, {'ABCD': 0, 'BC': 871, 'DE': 690, 'AB': 283, 'FG': 26, 'EH': 32, 'A': 63460, 'C': 52386, 'B': 64137, 'E': 62103, 'D': 47315, 'G': 50868, 'F': 64109, 'H': 47247, 'EF': 41, 'CF': 444, 'CD': 269, 'EFGH': 0, 'AD': 682, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.636, {'ABCD': 0, 'BC': 860, 'DE': 639, 'AB': 292, 'FG': 38, 'EH': 25, 'A': 63113, 'C': 52995, 'B': 63774, 'E': 61798, 'D': 47699, 'G': 51440, 'F': 63755, 'H': 47625, 'EF': 43, 'CF': 474, 'CD': 271, 'EFGH': 0, 'AD': 629, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
0.707, {'ABCD': 0, 'BC': 886, 'DE': 637, 'AB': 285, 'FG': 28, 'EH': 22, 'A': 63378, 'C': 54012, 'B': 63826, 'E': 62077, 'D': 47325, 'G': 52471, 'F': 63798, 'H': 47254, 'EF': 36, 'CF': 473, 'CD': 274, 'EFGH': 0, 'AD': 633, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
