0.000, {'ABCD': 0, 'BC': 939, 'DE': 716, 'AB': 269, 'FG': 28, 'EH': 30, 'A': 68146, 'C': 51488, 'B': 65099, 'E': 66790, 'D': 48583, 'G': 49863, 'F': 65061, 'H': 48523, 'EF': 43, 'CF': 493, 'CD': 273, 'EFGH': 0, 'AD': 714, 'GH': 27, 'CDEF': 0, 'ABCDEFGH': 0}
0.071, {'ABCD': 0, 'BC': 868, 'DE': 742, 'AB': 269, 'FG': 27, 'EH': 27, 'A': 67331, 'C': 51766, 'B': 64292, 'E': 65901, 'D': 48476, 'G': 50231, 'F': 64262, 'H': 48403, 'EF': 45, 'CF': 451, 'CD': 255, 'EFGH': 0, 'AD': 722, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
0.141, {'ABCD': 0, 'BC': 935, 'DE': 699, 'AB': 285, 'FG': 40, 'EH': 18, 'A': 66519, 'C': 51637, 'B': 64664, 'E': 65186, 'D': 48066, 'G': 50028, 'F': 64642, 'H': 48000, 'EF': 30, 'CF': 482, 'CD': 269, 'EFGH': 0, 'AD': 679, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.212, {'ABCD': 0, 'BC': 863, 'DE': 722, 'AB': 292, 'FG': 22, 'EH': 26, 'A': 66420, 'C': 51605, 'B': 64977, 'E': 65030, 'D': 48043, 'G': 50069, 'F': 64955, 'H': 47963, 'EF': 41, 'CF': 447, 'CD': 261, 'EFGH': 0, 'AD': 714, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.283, {'ABCD': 1, 'BC': 961, 'DE': 762, 'AB': 270, 'FG': 31, 'EH': 20, 'A': 65763, 'C': 52033, 'B': 64259, 'E': 64357, 'D': 48155, 'G': 50439, 'F': 64235, 'H': 48103, 'EF': 42, 'CF': 491, 'CD': 258, 'EFGH': 0, 'AD': 743, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
0.354, {'ABCD': 0, 'BC': 853, 'DE': 671, 'AB': 264, 'FG': 21, 'EH': 21, 'A': 66122, 'C': 51479, 'B': 64303, 'E': 64774, 'D': 48049, 'G': 49954, 'F': 64279, 'H': 47994, 'EF': 36, 'CF': 447, 'CD': 228, 'EFGH': 0, 'AD': 657, 'GH': 34, 'CDEF': 0, 'ABCDEFGH': 0}
0.424, {'ABCD': 0, 'BC': 918, 'DE': 696, 'AB': 269, 'FG': 26, 'EH': 32, 'A': 65740, 'C': 52005, 'B': 64865, 'E': 64354, 'D': 47668, 'G': 50418, 'F': 64843, 'H': 47601, 'EF': 45, 'CF': 450, 'CD': 292, 'EFGH': 0, 'AD': 691, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
0.495, {'ABCD': 0, 'BC': 932, 'DE': 688, 'AB': 254, 'FG': 32, 'EH': 26, 'A': 65624, 'C': 51981, 'B': 65037, 'E': 64306, 'D': 47612, 'G': 50441, 'F': 65002, 'H': 47551, 'EF': 44, 'CF': 470, 'CD': 270, 'EFGH': 0, 'AD': 677, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
0.566, {'ABCD': 0, 'BC': 894, 'DE': 677, 'AB': 262, 'FG': 19, 'EH': 27, 'A': 65656, 'C': 51951, 'B': 65306, 'E': 64311, 'D': 47664, 'G': 50330, 'F': 65285, 'H': 47613, 'EF': 49, 'CF': 460, 'CD': 249, 'EFGH': 0, 'AD': 666, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.636, {'ABCD': 0, 'BC': 904, 'DE': 714, 'AB': 267, 'FG': 27, 'EH': 22, 'A': 65851, 'C': 51644, 'B': 64713, 'E': 64501, 'D': 47368, 'G': 50091, 'F': 64691, 'H': 47299, 'EF': 37, 'CF': 442, 'CD': 261, 'EFGH': 0, 'AD': 694, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
0.707, {'ABCD': 0, 'BC': 953, 'DE': 728, 'AB': 270, 'FG': 27, 'EH': 27, 'A': 65824, 'C': 51788, 'B': 64765, 'E': 64510, 'D': 47230, 'G': 50172, 'F': 64747, 'H': 47166, 'EF': 42, 'CF': 489, 'CD': 227, 'EFGH': 0, 'AD': 715, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
