0.000, {'ABCD': 0, 'BC': 893, 'DE': 745, 'AB': 303, 'FG': 32, 'EH': 25, 'A': 66568, 'C': 51229, 'B': 64733, 'E': 65170, 'D': 48495, 'G': 49639, 'F': 64699, 'H': 48429, 'EF': 50, 'CF': 490, 'CD': 263, 'EFGH': 0, 'AD': 729, 'GH': 14, 'CDEF': 0, 'ABCDEFGH': 0}
0.071, {'ABCD': 0, 'BC': 898, 'DE': 748, 'AB': 267, 'FG': 32, 'EH': 31, 'A': 66023, 'C': 51308, 'B': 64493, 'E': 64676, 'D': 48418, 'G': 49740, 'F': 64470, 'H': 48346, 'EF': 42, 'CF': 468, 'CD': 256, 'EFGH': 0, 'AD': 728, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
0.141, {'ABCD': 0, 'BC': 907, 'DE': 763, 'AB': 316, 'FG': 33, 'EH': 26, 'A': 65409, 'C': 51609, 'B': 63820, 'E': 64002, 'D': 47969, 'G': 49977, 'F': 63797, 'H': 47914, 'EF': 46, 'CF': 459, 'CD': 260, 'EFGH': 0, 'AD': 745, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.212, {'ABCD': 0, 'BC': 908, 'DE': 698, 'AB': 293, 'FG': 26, 'EH': 34, 'A': 65491, 'C': 51362, 'B': 64607, 'E': 64113, 'D': 48257, 'G': 49815, 'F': 64584, 'H': 48188, 'EF': 43, 'CF': 476, 'CD': 263, 'EFGH': 0, 'AD': 690, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.283, {'ABCD': 0, 'BC': 894, 'DE': 728, 'AB': 277, 'FG': 32, 'EH': 23, 'A': 64960, 'C': 51776, 'B': 64389, 'E': 63532, 'D': 48382, 'G': 50199, 'F': 64365, 'H': 48311, 'EF': 48, 'CF': 470, 'CD': 277, 'EFGH': 0, 'AD': 723, 'GH': 33, 'CDEF': 0, 'ABCDEFGH': 0}
0.354, {'ABCD': 0, 'BC': 891, 'DE': 717, 'AB': 270, 'FG': 26, 'EH': 24, 'A': 64512, 'C': 51917, 'B': 63904, 'E': 63147, 'D': 48050, 'G': 50333, 'F': 63879, 'H': 47991, 'EF': 47, 'CF': 458, 'CD': 267, 'EFGH': 0, 'AD': 705, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.424, {'ABCD': 0, 'BC': 894, 'DE': 713, 'AB': 313, 'FG': 29, 'EH': 21, 'A': 64457, 'C': 52499, 'B': 63962, 'E': 63125, 'D': 48104, 'G': 50910, 'F': 63935, 'H': 48037, 'EF': 38, 'CF': 461, 'CD': 285, 'EFGH': 0, 'AD': 696, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.495, {'ABCD': 0, 'BC': 876, 'DE': 699, 'AB': 248, 'FG': 36, 'EH': 26, 'A': 64364, 'C': 52246, 'B': 63995, 'E': 62925, 'D': 48016, 'G': 50696, 'F': 63975, 'H': 47949, 'EF': 35, 'CF': 485, 'CD': 256, 'EFGH': 0, 'AD': 688, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.566, {'ABCD': 0, 'BC': 866, 'DE': 663, 'AB': 292, 'FG': 27, 'EH': 24, 'A': 63804, 'C': 52822, 'B': 63868, 'E': 62503, 'D': 48120, 'G': 51219, 'F': 63853, 'H': 48053, 'EF': 43, 'CF': 452, 'CD': 298, 'EFGH': 0, 'AD': 665, 'GH': 23, 'CDEF': 0, 'ABCDEFGH': 0}
0.636, {'ABCD': 0, 'BC': 874, 'DE': 740, 'AB': 261, 'FG': 17, 'EH': 27, 'A': 63577, 'C': 53028, 'B': 63930, 'E': 62186, 'D': 48138, 'G': 51438, 'F': 63907, 'H': 48068, 'EF': 40, 'CF': 453, 'CD': 279, 'EFGH': 0, 'AD': 724, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
0.707, {'ABCD': 0, 'BC': 897, 'DE': 732, 'AB': 278, 'FG': 27, 'EH': 22, 'A': 63113, 'C': 53601, 'B': 63795, 'E': 61775, 'D': 48103, 'G': 52003, 'F': 63777, 'H': 48043, 'EF': 40, 'CF': 449, 'CD': 293, 'EFGH': 0, 'AD': 719, 'GH': 12, 'CDEF': 0, 'ABCDEFGH': 0}
0.778, {'ABCD': 0, 'BC': 907, 'DE': 713, 'AB': 323, 'FG': 20, 'EH': 27, 'A': 62799, 'C': 53930, 'B': 64161, 'E': 61392, 'D': 47935, 'G': 52364, 'F': 64134, 'H': 47870, 'EF': 34, 'CF': 481, 'CD': 283, 'EFGH': 0, 'AD': 709, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
0.848, {'ABCD': 0, 'BC': 881, 'DE': 647, 'AB': 317, 'FG': 25, 'EH': 18, 'A': 61963, 'C': 54625, 'B': 64282, 'E': 60746, 'D': 47987, 'G': 52986, 'F': 64256, 'H': 47925, 'EF': 46, 'CF': 448, 'CD': 287, 'EFGH': 0, 'AD': 636, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
0.919, {'ABCD': 0, 'BC': 843, 'DE': 717, 'AB': 346, 'FG': 29, 'EH': 27, 'A': 61667, 'C': 55022, 'B': 63887, 'E': 60350, 'D': 47591, 'G': 53459, 'F': 63864, 'H': 47515, 'EF': 34, 'CF': 424, 'CD': 262, 'EFGH': 0, 'AD': 694, 'GH': 26, 'CDEF': 0, 'ABCDEFGH': 0}
0.990, {'ABCD': 0, 'BC': 838, 'DE': 690, 'AB': 346, 'FG': 23, 'EH': 26, 'A': 61697, 'C': 55486, 'B': 63840, 'E': 60355, 'D': 47846, 'G': 53906, 'F': 63819, 'H': 47792, 'EF': 57, 'CF': 417, 'CD': 293, 'EFGH': 0, 'AD': 691, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
1.061, {'ABCD': 0, 'BC': 823, 'DE': 673, 'AB': 337, 'FG': 33, 'EH': 27, 'A': 61309, 'C': 56519, 'B': 64167, 'E': 59969, 'D': 48218, 'G': 54916, 'F': 64138, 'H': 48146, 'EF': 42, 'CF': 438, 'CD': 314, 'EFGH': 0, 'AD': 669, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
1.131, {'ABCD': 0, 'BC': 879, 'DE': 732, 'AB': 338, 'FG': 28, 'EH': 17, 'A': 60011, 'C': 57128, 'B': 64185, 'E': 58703, 'D': 48284, 'G': 55461, 'F': 64166, 'H': 48225, 'EF': 42, 'CF': 481, 'CD': 293, 'EFGH': 0, 'AD': 722, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
1.202, {'ABCD': 0, 'BC': 817, 'DE': 737, 'AB': 357, 'FG': 30, 'EH': 21, 'A': 59210, 'C': 57974, 'B': 64016, 'E': 57878, 'D': 47926, 'G': 56339, 'F': 63990, 'H': 47843, 'EF': 37, 'CF': 452, 'CD': 334, 'EFGH': 0, 'AD': 715, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
1.273, {'ABCD': 0, 'BC': 836, 'DE': 664, 'AB': 368, 'FG': 28, 'EH': 27, 'A': 58301, 'C': 58297, 'B': 64005, 'E': 57049, 'D': 47774, 'G': 56714, 'F': 63981, 'H': 47712, 'EF': 42, 'CF': 483, 'CD': 291, 'EFGH': 0, 'AD': 648, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
