1.131, {'ABCD': 0, 'BC': 681, 'DE': 639, 'AB': 209, 'FG': 23, 'EH': 24, 'A': 63135, 'C': 50362, 'B': 50685, 'E': 61875, 'D': 44094, 'G': 49115, 'F': 50669, 'H': 44034, 'EF': 29, 'CF': 343, 'CD': 273, 'EFGH': 0, 'AD': 625, 'GH': 25, 'CDEF': 0, 'ABCDEFGH': 0}
1.202, {'ABCD': 0, 'BC': 667, 'DE': 679, 'AB': 190, 'FG': 17, 'EH': 16, 'A': 63110, 'C': 51321, 'B': 48689, 'E': 61860, 'D': 44022, 'G': 50020, 'F': 48674, 'H': 43979, 'EF': 28, 'CF': 338, 'CD': 296, 'EFGH': 0, 'AD': 663, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
1.273, {'ABCD': 0, 'BC': 672, 'DE': 658, 'AB': 180, 'FG': 17, 'EH': 32, 'A': 62831, 'C': 51033, 'B': 47174, 'E': 61592, 'D': 43522, 'G': 49715, 'F': 47162, 'H': 43472, 'EF': 35, 'CF': 375, 'CD': 291, 'EFGH': 0, 'AD': 651, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
1.343, {'ABCD': 0, 'BC': 666, 'DE': 663, 'AB': 162, 'FG': 14, 'EH': 31, 'A': 62624, 'C': 50843, 'B': 45818, 'E': 61416, 'D': 43553, 'G': 49561, 'F': 45802, 'H': 43494, 'EF': 33, 'CF': 366, 'CD': 345, 'EFGH': 0, 'AD': 646, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
1.414, {'ABCD': 0, 'BC': 649, 'DE': 650, 'AB': 167, 'FG': 15, 'EH': 18, 'A': 62653, 'C': 50960, 'B': 43819, 'E': 61442, 'D': 43284, 'G': 49678, 'F': 43804, 'H': 43235, 'EF': 23, 'CF': 346, 'CD': 331, 'EFGH': 0, 'AD': 635, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
1.485, {'ABCD': 0, 'BC': 631, 'DE': 686, 'AB': 144, 'FG': 22, 'EH': 20, 'A': 62512, 'C': 51299, 'B': 42330, 'E': 61293, 'D': 42704, 'G': 50036, 'F': 42309, 'H': 42657, 'EF': 26, 'CF': 329, 'CD': 307, 'EFGH': 0, 'AD': 676, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
1.556, {'ABCD': 0, 'BC': 595, 'DE': 670, 'AB': 142, 'FG': 17, 'EH': 20, 'A': 61707, 'C': 51528, 'B': 40353, 'E': 60543, 'D': 42405, 'G': 50313, 'F': 40341, 'H': 42357, 'EF': 22, 'CF': 311, 'CD': 329, 'EFGH': 0, 'AD': 658, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
1.626, {'ABCD': 0, 'BC': 574, 'DE': 656, 'AB': 134, 'FG': 16, 'EH': 12, 'A': 62007, 'C': 51996, 'B': 38556, 'E': 60792, 'D': 42129, 'G': 50787, 'F': 38549, 'H': 42068, 'EF': 29, 'CF': 292, 'CD': 348, 'EFGH': 0, 'AD': 641, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
1.697, {'ABCD': 0, 'BC': 590, 'DE': 665, 'AB': 135, 'FG': 16, 'EH': 24, 'A': 61623, 'C': 52322, 'B': 36530, 'E': 60384, 'D': 41448, 'G': 51154, 'F': 36521, 'H': 41388, 'EF': 28, 'CF': 320, 'CD': 350, 'EFGH': 0, 'AD': 648, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
1.768, {'ABCD': 0, 'BC': 540, 'DE': 651, 'AB': 115, 'FG': 24, 'EH': 22, 'A': 61122, 'C': 52108, 'B': 34650, 'E': 59909, 'D': 41320, 'G': 50968, 'F': 34636, 'H': 41270, 'EF': 16, 'CF': 274, 'CD': 385, 'EFGH': 0, 'AD': 647, 'GH': 26, 'CDEF': 0, 'ABCDEFGH': 0}
