0.000, {'ABCD': 0, 'BC': 803, 'DE': 654, 'AB': 257, 'FG': 21, 'EH': 31, 'A': 66986, 'C': 50922, 'B': 63713, 'E': 65615, 'D': 47671, 'G': 49451, 'F': 63698, 'H': 47605, 'EF': 39, 'CF': 430, 'CD': 258, 'EFGH': 0, 'AD': 645, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
0.071, {'ABCD': 0, 'BC': 792, 'DE': 647, 'AB': 243, 'FG': 28, 'EH': 32, 'A': 65774, 'C': 50713, 'B': 63347, 'E': 64462, 'D': 47186, 'G': 49227, 'F': 63328, 'H': 47106, 'EF': 47, 'CF': 418, 'CD': 254, 'EFGH': 0, 'AD': 646, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
0.141, {'ABCD': 0, 'BC': 785, 'DE': 592, 'AB': 245, 'FG': 22, 'EH': 16, 'A': 64360, 'C': 50064, 'B': 63640, 'E': 63106, 'D': 46667, 'G': 48695, 'F': 63614, 'H': 46603, 'EF': 44, 'CF': 403, 'CD': 217, 'EFGH': 0, 'AD': 576, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
0.212, {'ABCD': 0, 'BC': 807, 'DE': 602, 'AB': 264, 'FG': 19, 'EH': 37, 'A': 65006, 'C': 50321, 'B': 62913, 'E': 63670, 'D': 46043, 'G': 48888, 'F': 62887, 'H': 45981, 'EF': 30, 'CF': 420, 'CD': 225, 'EFGH': 0, 'AD': 597, 'GH': 22, 'CDEF': 0, 'ABCDEFGH': 0}
0.283, {'ABCD': 0, 'BC': 846, 'DE': 639, 'AB': 261, 'FG': 30, 'EH': 21, 'A': 64082, 'C': 50027, 'B': 63524, 'E': 62775, 'D': 46034, 'G': 48611, 'F': 63496, 'H': 45973, 'EF': 42, 'CF': 424, 'CD': 231, 'EFGH': 0, 'AD': 632, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
0.354, {'ABCD': 0, 'BC': 776, 'DE': 598, 'AB': 245, 'FG': 28, 'EH': 32, 'A': 64054, 'C': 50153, 'B': 64007, 'E': 62753, 'D': 45780, 'G': 48768, 'F': 63984, 'H': 45710, 'EF': 43, 'CF': 403, 'CD': 210, 'EFGH': 0, 'AD': 590, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
0.424, {'ABCD': 0, 'BC': 737, 'DE': 628, 'AB': 265, 'FG': 29, 'EH': 27, 'A': 64052, 'C': 49957, 'B': 63364, 'E': 62772, 'D': 45337, 'G': 48593, 'F': 63338, 'H': 45281, 'EF': 38, 'CF': 387, 'CD': 209, 'EFGH': 0, 'AD': 614, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
0.495, {'ABCD': 0, 'BC': 806, 'DE': 639, 'AB': 217, 'FG': 32, 'EH': 25, 'A': 63642, 'C': 49834, 'B': 64035, 'E': 62335, 'D': 44852, 'G': 48447, 'F': 64007, 'H': 44789, 'EF': 43, 'CF': 436, 'CD': 215, 'EFGH': 0, 'AD': 639, 'GH': 30, 'CDEF': 0, 'ABCDEFGH': 0}
0.566, {'ABCD': 0, 'BC': 799, 'DE': 619, 'AB': 276, 'FG': 28, 'EH': 14, 'A': 63402, 'C': 49648, 'B': 64723, 'E': 62134, 'D': 44176, 'G': 48244, 'F': 64690, 'H': 44115, 'EF': 52, 'CF': 404, 'CD': 216, 'EFGH': 0, 'AD': 603, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.636, {'ABCD': 0, 'BC': 760, 'DE': 622, 'AB': 249, 'FG': 20, 'EH': 19, 'A': 63319, 'C': 49873, 'B': 64691, 'E': 62100, 'D': 43682, 'G': 48518, 'F': 64673, 'H': 43618, 'EF': 43, 'CF': 411, 'CD': 199, 'EFGH': 0, 'AD': 613, 'GH': 24, 'CDEF': 0, 'ABCDEFGH': 0}
0.707, {'ABCD': 0, 'BC': 822, 'DE': 597, 'AB': 206, 'FG': 36, 'EH': 25, 'A': 63076, 'C': 49600, 'B': 65812, 'E': 61861, 'D': 42965, 'G': 48212, 'F': 65795, 'H': 42900, 'EF': 39, 'CF': 425, 'CD': 217, 'EFGH': 0, 'AD': 582, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
0.778, {'ABCD': 0, 'BC': 776, 'DE': 632, 'AB': 266, 'FG': 27, 'EH': 22, 'A': 63725, 'C': 49904, 'B': 65523, 'E': 62428, 'D': 42887, 'G': 48509, 'F': 65501, 'H': 42825, 'EF': 47, 'CF': 394, 'CD': 215, 'EFGH': 0, 'AD': 622, 'GH': 29, 'CDEF': 0, 'ABCDEFGH': 0}
0.848, {'ABCD': 0, 'BC': 783, 'DE': 603, 'AB': 290, 'FG': 37, 'EH': 20, 'A': 63579, 'C': 49696, 'B': 66902, 'E': 62286, 'D': 42290, 'G': 48336, 'F': 66874, 'H': 42226, 'EF': 34, 'CF': 432, 'CD': 210, 'EFGH': 0, 'AD': 587, 'GH': 14, 'CDEF': 0, 'ABCDEFGH': 0}
0.919, {'ABCD': 0, 'BC': 812, 'DE': 629, 'AB': 246, 'FG': 22, 'EH': 21, 'A': 63231, 'C': 50003, 'B': 67186, 'E': 61927, 'D': 41785, 'G': 48593, 'F': 67162, 'H': 41712, 'EF': 29, 'CF': 410, 'CD': 197, 'EFGH': 0, 'AD': 616, 'GH': 16, 'CDEF': 0, 'ABCDEFGH': 0}
0.990, {'ABCD': 0, 'BC': 849, 'DE': 642, 'AB': 243, 'FG': 21, 'EH': 26, 'A': 63648, 'C': 49726, 'B': 68073, 'E': 62397, 'D': 40531, 'G': 48325, 'F': 68052, 'H': 40482, 'EF': 45, 'CF': 423, 'CD': 203, 'EFGH': 0, 'AD': 639, 'GH': 11, 'CDEF': 0, 'ABCDEFGH': 0}
1.061, {'ABCD': 0, 'BC': 756, 'DE': 575, 'AB': 229, 'FG': 27, 'EH': 19, 'A': 63503, 'C': 49929, 'B': 68448, 'E': 62304, 'D': 39397, 'G': 48533, 'F': 68425, 'H': 39346, 'EF': 37, 'CF': 400, 'CD': 184, 'EFGH': 0, 'AD': 568, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
1.131, {'ABCD': 0, 'BC': 838, 'DE': 636, 'AB': 225, 'FG': 22, 'EH': 17, 'A': 63422, 'C': 49596, 'B': 69148, 'E': 62163, 'D': 38811, 'G': 48212, 'F': 69121, 'H': 38763, 'EF': 40, 'CF': 439, 'CD': 207, 'EFGH': 0, 'AD': 630, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
1.202, {'ABCD': 0, 'BC': 850, 'DE': 657, 'AB': 230, 'FG': 24, 'EH': 21, 'A': 63258, 'C': 49877, 'B': 70310, 'E': 61992, 'D': 38215, 'G': 48461, 'F': 70278, 'H': 38159, 'EF': 27, 'CF': 407, 'CD': 168, 'EFGH': 0, 'AD': 646, 'GH': 11, 'CDEF': 0, 'ABCDEFGH': 0}
1.273, {'ABCD': 0, 'BC': 797, 'DE': 606, 'AB': 246, 'FG': 35, 'EH': 19, 'A': 63362, 'C': 49609, 'B': 71281, 'E': 62076, 'D': 37313, 'G': 48236, 'F': 71263, 'H': 37250, 'EF': 45, 'CF': 413, 'CD': 165, 'EFGH': 0, 'AD': 606, 'GH': 12, 'CDEF': 0, 'ABCDEFGH': 0}
1.343, {'ABCD': 0, 'BC': 846, 'DE': 598, 'AB': 271, 'FG': 30, 'EH': 25, 'A': 63923, 'C': 49737, 'B': 72548, 'E': 62603, 'D': 36206, 'G': 48334, 'F': 72519, 'H': 36163, 'EF': 55, 'CF': 436, 'CD': 181, 'EFGH': 0, 'AD': 595, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
